File Number,MAE Ets,MAE Arima,MAE Prophet
109,0.713703403,0.648418018,18.88816804
110,0.829569334,1.093845361,1.103415024
111,0.743113987,0.78892542,6.432477738
112,0.90747555,0.943458879,17.36870561
113,0.830526028,0.830526028,8.323748082
114,0.72954724,0.700530876,28.53494541
115,0.919871318,0.928514728,10.52842472
116,0.612130467,0.687758233,30.3053795
117,0.866165874,0.819826132,10.22564012
118,0.652937077,0.662821961,19.09513509
119,0.714315312,0.726034699,3.306892143
120,0.819173766,0.770729838,15.84451482
121,0.540548311,0.557102172,31.4884581
122,0.783638134,0.841521144,10.69035348
123,0.548977168,0.55477729,13.55853183
124,0.758021599,0.690909967,28.76469956
125,0.760530868,0.760686195,40.71240944
126,0.765915171,0.764312921,10.13703676
127,0.732850065,0.750118132,9.137325723
128,0.79377806,0.792793952,34.19375095
129,0.856977016,0.855945867,6.012700251
130,0.648692819,0.742809733,16.00999231
131,0.850788644,0.864865413,1.744982947
132,0.795954831,0.864802935,32.56779171
133,0.914398653,1.030107474,1.302590731
134,0.801187018,0.891237406,26.52697292
135,0.900614109,0.947531513,25.11257433
136,0.453573545,0.43471004,19.94448732
137,0.837238396,0.746507757,15.70038439
138,0.710878101,0.710472782,11.51166476
139,0.790863253,0.776662242,14.83414564
140,0.816590823,0.812955542,6.973432688
141,0.617934391,0.646522228,20.97877818
142,0.711521281,0.701168805,5.020185921
143,0.630872184,0.62864365,20.71495451
144,0.709894058,0.666628665,45.14275143
145,0.567527959,0.510468078,36.04383617
146,0.556971677,0.552163704,12.03193212
147,0.647363498,0.618781413,27.36675627
148,0.462639948,0.462465426,25.90797633
149,0.805782652,0.824493516,19.40694657
150,0.608820588,0.608820588,5.379423422
151,0.793436704,0.70182927,27.20781363
152,0.929628979,0.930798587,1.232745102
153,0.96403994,0.939696742,4.697531713
154,0.871424327,0.907532392,5.546203107
155,1.060570941,1.086202268,2.10600074
156,1.01255748,1.03642691,0.897404439
157,0.899480794,0.881919704,6.373778211
158,0.897408123,0.831297811,6.551106878
159,0.829450533,0.807301222,1.773108583
160,0.904680056,0.873302565,2.485158131
161,0.913154342,1.200037178,2.285690254
162,1.038040645,0.98617827,4.185560344
163,0.722223523,0.700495063,27.77621408
164,0.810738742,0.731060122,16.68479983
165,0.938222387,0.885177799,13.0625704
166,0.864807736,0.89221494,20.57529497
167,0.662534185,0.751405558,5.746820548
168,0.568142099,0.601552767,29.01755481
169,0.709376562,0.72395022,16.54180981
170,0.758402506,0.861123077,6.001028069
171,0.762877506,0.703093751,4.456397172
172,0.769012196,0.769012196,12.41012994
173,0.630342799,0.677456056,1.049361266
174,0.823267341,0.5846121,24.15237854
175,0.650987324,0.65971433,26.7830043
176,0.748623032,0.819067354,4.419102466
177,0.859172277,0.852442429,4.03699964
178,0.537664414,0.573544006,6.012174378
179,0.839683408,0.954659677,2.097692913
180,0.885489789,1.00472988,6.429999475
181,0.651447668,0.540755965,8.425979521
182,0.538230281,0.524538614,4.862951217
183,0.582149516,0.677749309,2.003081632
184,0.60591801,0.572602921,1.895809213
